time,V(1),V(2),I(V1),I(R1),I(C1)
0.000000e+00,1.000000e+00,4.997501e-04,-9.995002e-04,9.995002e-04,9.995002e-04
1.000000e-06,1.000000e+00,1.498751e-03,-9.985012e-04,9.985012e-04,1.998001e-03
2.000000e-06,1.000000e+00,2.496753e-03,-9.975032e-04,9.975032e-04,3.995005e-03
3.000000e-06,1.000000e+00,3.493758e-03,-9.965062e-04,9.965062e-04,5.990012e-03
4.000000e-06,1.000000e+00,4.489766e-03,-9.955102e-04,9.955102e-04,7.983026e-03
5.000000e-06,1.000000e+00,5.484779e-03,-9.945152e-04,9.945152e-04,9.974047e-03
6.000000e-06,1.000000e+00,6.478797e-03,-9.935212e-04,9.935212e-04,1.196308e-02
7.000000e-06,1.000000e+00,7.471822e-03,-9.925282e-04,9.925282e-04,1.395012e-02
8.000000e-06,1.000000e+00,8.463854e-03,-9.915361e-04,9.915361e-04,1.593518e-02
9.000000e-06,1.000000e+00,9.454895e-03,-9.905451e-04,9.905451e-04,1.791825e-02
1.000000e-05,1.000000e+00,1.044494e-02,-9.895551e-04,9.895551e-04,1.989934e-02
1.100000e-05,1.000000e+00,1.143401e-02,-9.885660e-04,9.885660e-04,2.187846e-02
1.200000e-05,1.000000e+00,1.242208e-02,-9.875779e-04,9.875779e-04,2.385559e-02
1.300000e-05,1.000000e+00,1.340916e-02,-9.865908e-04,9.865908e-04,2.583075e-02
1.400000e-05,1.000000e+00,1.439526e-02,-9.856047e-04,9.856047e-04,2.780393e-02
1.500000e-05,1.000000e+00,1.538037e-02,-9.846196e-04,9.846196e-04,2.977514e-02
1.600000e-05,1.000000e+00,1.636450e-02,-9.836355e-04,9.836355e-04,3.174438e-02
1.700000e-05,1.000000e+00,1.734764e-02,-9.826524e-04,9.826524e-04,3.371165e-02
1.800000e-05,1.000000e+00,1.832980e-02,-9.816702e-04,9.816702e-04,3.567696e-02
1.900000e-05,1.000000e+00,1.931098e-02,-9.806890e-04,9.806890e-04,3.764030e-02
2.000000e-05,1.000000e+00,2.029118e-02,-9.797088e-04,9.797088e-04,3.960168e-02
2.100000e-05,1.000000e+00,2.127040e-02,-9.787296e-04,9.787296e-04,4.156110e-02
2.200000e-05,1.000000e+00,2.224864e-02,-9.777514e-04,9.777514e-04,4.351856e-02
2.300000e-05,1.000000e+00,2.322591e-02,-9.767741e-04,9.767741e-04,4.547406e-02
2.400000e-05,1.000000e+00,2.420219e-02,-9.757978e-04,9.757978e-04,4.742761e-02
2.500000e-05,1.000000e+00,2.517750e-02,-9.748225e-04,9.748225e-04,4.937920e-02
2.600000e-05,1.000000e+00,2.615184e-02,-9.738482e-04,9.738482e-04,5.132885e-02
2.700000e-05,1.000000e+00,2.712520e-02,-9.728748e-04,9.728748e-04,5.327655e-02
2.800000e-05,1.000000e+00,2.809759e-02,-9.719024e-04,9.719024e-04,5.522230e-02
2.900000e-05,1.000000e+00,2.906900e-02,-9.709310e-04,9.709310e-04,5.716610e-02
3.000000e-05,1.000000e+00,3.003945e-02,-9.699606e-04,9.699606e-04,5.910797e-02
3.100000e-05,1.000000e+00,3.100892e-02,-9.689911e-04,9.689911e-04,6.104789e-02
3.200000e-05,1.000000e+00,3.197743e-02,-9.680226e-04,9.680226e-04,6.298587e-02
3.300000e-05,1.000000e+00,3.294497e-02,-9.670550e-04,9.670550e-04,6.492192e-02
3.400000e-05,1.000000e+00,3.391154e-02,-9.660885e-04,9.660885e-04,6.685603e-02
3.500000e-05,1.000000e+00,3.487715e-02,-9.651229e-04,9.651229e-04,6.878821e-02
3.600000e-05,1.000000e+00,3.584179e-02,-9.641582e-04,9.641582e-04,7.071845e-02
3.700000e-05,1.000000e+00,3.680546e-02,-9.631945e-04,9.631945e-04,7.264677e-02
3.800000e-05,1.000000e+00,3.776818e-02,-9.622318e-04,9.622318e-04,7.457316e-02
3.900000e-05,1.000000e+00,3.872993e-02,-9.612701e-04,9.612701e-04,7.649763e-02
4.000000e-05,1.000000e+00,3.969072e-02,-9.603093e-04,9.603093e-04,7.842017e-02
4.100000e-05,1.000000e+00,4.065055e-02,-9.593495e-04,9.593495e-04,8.034079e-02
4.200000e-05,1.000000e+00,4.160942e-02,-9.583906e-04,9.583906e-04,8.225949e-02
4.300000e-05,1.000000e+00,4.256733e-02,-9.574327e-04,9.574327e-04,8.417627e-02
4.400000e-05,1.000000e+00,4.352428e-02,-9.564757e-04,9.564757e-04,8.609114e-02
4.500000e-05,1.000000e+00,4.448028e-02,-9.555197e-04,9.555197e-04,8.800409e-02
4.600000e-05,1.000000e+00,4.543532e-02,-9.545647e-04,9.545647e-04,8.991513e-02
4.700000e-05,1.000000e+00,4.638941e-02,-9.536106e-04,9.536106e-04,9.182426e-02
4.800000e-05,1.000000e+00,4.734255e-02,-9.526575e-04,9.526575e-04,9.373148e-02
4.900000e-05,1.000000e+00,4.829473e-02,-9.517053e-04,9.517053e-04,9.563680e-02
5.000000e-05,1.000000e+00,4.924596e-02,-9.507540e-04,9.507540e-04,9.754021e-02
5.100000e-05,1.000000e+00,5.019624e-02,-9.498038e-04,9.498038e-04,9.944172e-02
5.200000e-05,1.000000e+00,5.114556e-02,-9.488544e-04,9.488544e-04,1.013413e-01
5.300000e-05,1.000000e+00,5.209394e-02,-9.479061e-04,9.479061e-04,1.032390e-01
5.400000e-05,1.000000e+00,5.304138e-02,-9.469586e-04,9.469586e-04,1.051348e-01
5.500000e-05,1.000000e+00,5.398786e-02,-9.460121e-04,9.460121e-04,1.070288e-01
5.600000e-05,1.000000e+00,5.493340e-02,-9.450666e-04,9.450666e-04,1.089208e-01
5.700000e-05,1.000000e+00,5.587800e-02,-9.441220e-04,9.441220e-04,1.108109e-01
5.800000e-05,1.000000e+00,5.682165e-02,-9.431784e-04,9.431784e-04,1.126992e-01
5.900000e-05,1.000000e+00,5.776435e-02,-9.422356e-04,9.422356e-04,1.145855e-01
6.000000e-05,1.000000e+00,5.870612e-02,-9.412939e-04,9.412939e-04,1.164700e-01
6.100000e-05,1.000000e+00,5.964694e-02,-9.403531e-04,9.403531e-04,1.183526e-01
6.200000e-05,1.000000e+00,6.058682e-02,-9.394132e-04,9.394132e-04,1.202333e-01
6.300000e-05,1.000000e+00,6.152577e-02,-9.384742e-04,9.384742e-04,1.221121e-01
6.400000e-05,1.000000e+00,6.246377e-02,-9.375362e-04,9.375362e-04,1.239891e-01
6.500000e-05,1.000000e+00,6.340084e-02,-9.365992e-04,9.365992e-04,1.258641e-01
6.600000e-05,1.000000e+00,6.433697e-02,-9.356630e-04,9.356630e-04,1.277373e-01
6.700000e-05,1.000000e+00,6.527217e-02,-9.347278e-04,9.347278e-04,1.296087e-01
6.800000e-05,1.000000e+00,6.620643e-02,-9.337936e-04,9.337936e-04,1.314781e-01
6.900000e-05,1.000000e+00,6.713976e-02,-9.328602e-04,9.328602e-04,1.333457e-01
7.000000e-05,1.000000e+00,6.807215e-02,-9.319279e-04,9.319279e-04,1.352114e-01
7.100000e-05,1.000000e+00,6.900361e-02,-9.309964e-04,9.309964e-04,1.370753e-01
7.200000e-05,1.000000e+00,6.993414e-02,-9.300659e-04,9.300659e-04,1.389373e-01
7.300000e-05,1.000000e+00,7.086374e-02,-9.291363e-04,9.291363e-04,1.407974e-01
7.400000e-05,1.000000e+00,7.179242e-02,-9.282076e-04,9.282076e-04,1.426557e-01
7.500000e-05,1.000000e+00,7.272016e-02,-9.272798e-04,9.272798e-04,1.445121e-01
7.600000e-05,1.000000e+00,7.364698e-02,-9.263530e-04,9.263530e-04,1.463667e-01
7.700000e-05,1.000000e+00,7.457287e-02,-9.254271e-04,9.254271e-04,1.482194e-01
7.800000e-05,1.000000e+00,7.549783e-02,-9.245022e-04,9.245022e-04,1.500702e-01
7.900000e-05,1.000000e+00,7.642187e-02,-9.235781e-04,9.235781e-04,1.519192e-01
8.000000e-05,1.000000e+00,7.734499e-02,-9.226550e-04,9.226550e-04,1.537664e-01
8.100000e-05,1.000000e+00,7.826718e-02,-9.217328e-04,9.217328e-04,1.556117e-01
8.200000e-05,1.000000e+00,7.918845e-02,-9.208115e-04,9.208115e-04,1.574552e-01
8.300000e-05,1.000000e+00,8.010880e-02,-9.198912e-04,9.198912e-04,1.592968e-01
8.400000e-05,1.000000e+00,8.102824e-02,-9.189718e-04,9.189718e-04,1.611366e-01
8.500000e-05,1.000000e+00,8.194675e-02,-9.180533e-04,9.180533e-04,1.629745e-01
8.600000e-05,1.000000e+00,8.286434e-02,-9.171357e-04,9.171357e-04,1.648106e-01
8.700000e-05,1.000000e+00,8.378102e-02,-9.162190e-04,9.162190e-04,1.666449e-01
8.800000e-05,1.000000e+00,8.469678e-02,-9.153032e-04,9.153032e-04,1.684773e-01
8.900000e-05,1.000000e+00,8.561163e-02,-9.143884e-04,9.143884e-04,1.703080e-01
9.000000e-05,1.000000e+00,8.652556e-02,-9.134744e-04,9.134744e-04,1.721367e-01
9.100000e-05,1.000000e+00,8.743858e-02,-9.125614e-04,9.125614e-04,1.739637e-01
9.200000e-05,1.000000e+00,8.835068e-02,-9.116493e-04,9.116493e-04,1.757888e-01
9.300000e-05,1.000000e+00,8.926188e-02,-9.107381e-04,9.107381e-04,1.776121e-01
9.400000e-05,1.000000e+00,9.017216e-02,-9.098278e-04,9.098278e-04,1.794336e-01
9.500000e-05,1.000000e+00,9.108153e-02,-9.089185e-04,9.089185e-04,1.812532e-01
9.600000e-05,1.000000e+00,9.199000e-02,-9.080100e-04,9.080100e-04,1.830711e-01
9.700000e-05,1.000000e+00,9.289755e-02,-9.071024e-04,9.071024e-04,1.848871e-01
9.800000e-05,1.000000e+00,9.380420e-02,-9.061958e-04,9.061958e-04,1.867013e-01
9.900000e-05,1.000000e+00,9.470994e-02,-9.052901e-04,9.052901e-04,1.885137e-01
1.000000e-04,1.000000e+00,9.561478e-02,-9.043852e-04,9.043852e-04,1.903243e-01
1.010000e-04,1.000000e+00,9.651872e-02,-9.034813e-04,9.034813e-04,1.921330e-01
1.020000e-04,1.000000e+00,9.742175e-02,-9.025783e-04,9.025783e-04,1.939400e-01
1.030000e-04,1.000000e+00,9.832387e-02,-9.016761e-04,9.016761e-04,1.957452e-01
1.040000e-04,1.000000e+00,9.922510e-02,-9.007749e-04,9.007749e-04,1.975485e-01
1.050000e-04,1.000000e+00,1.001254e-01,-8.998746e-04,8.998746e-04,1.993501e-01
1.060000e-04,1.000000e+00,1.010248e-01,-8.989752e-04,8.989752e-04,2.011498e-01
1.070000e-04,1.000000e+00,1.019234e-01,-8.980766e-04,8.980766e-04,2.029478e-01
1.080000e-04,1.000000e+00,1.028210e-01,-8.971790e-04,8.971790e-04,2.047439e-01
1.090000e-04,1.000000e+00,1.037177e-01,-8.962823e-04,8.962823e-04,2.065383e-01
