time,V(1),V(2),V(3),I(V1),I(R1),I(L1),I(C1)
0.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e-06,1.000000e+00,9.900522e-01,4.973887e-04,-9.947774e-04,9.947774e-04,9.947774e-04,9.947774e-04
2.000000e-06,1.000000e+00,9.802133e-01,1.984112e-03,-1.978669e-03,1.978669e-03,1.978669e-03,2.973447e-03
3.000000e-06,1.000000e+00,9.704919e-01,4.448850e-03,-2.950806e-03,2.950806e-03,2.950806e-03,6.919030e-03
4.000000e-06,1.000000e+00,9.608966e-01,7.879420e-03,-3.910336e-03,3.910336e-03,3.910336e-03,1.280804e-02
5.000000e-06,1.000000e+00,9.514357e-01,1.226280e-02,-4.856431e-03,4.856431e-03,4.856431e-03,2.061527e-02
6.000000e-06,1.000000e+00,9.421172e-01,1.758516e-02,-5.788283e-03,5.788283e-03,5.788283e-03,3.031389e-02
7.000000e-06,1.000000e+00,9.329489e-01,2.383186e-02,-6.705108e-03,6.705108e-03,6.705108e-03,4.187543e-02
8.000000e-06,1.000000e+00,9.239386e-01,3.098748e-02,-7.606142e-03,7.606142e-03,7.606142e-03,5.526985e-02
9.000000e-06,1.000000e+00,9.150935e-01,3.903587e-02,-8.490646e-03,8.490646e-03,8.490646e-03,7.046561e-02
1.000000e-05,1.000000e+00,9.064209e-01,4.796015e-02,-9.357905e-03,9.357905e-03,9.357905e-03,8.742966e-02
1.100000e-05,1.000000e+00,8.979277e-01,5.774272e-02,-1.020723e-02,1.020723e-02,1.020723e-02,1.061275e-01
1.200000e-05,1.000000e+00,8.896205e-01,6.836531e-02,-1.103795e-02,1.103795e-02,1.103795e-02,1.265234e-01
1.300000e-05,1.000000e+00,8.815058e-01,7.980899e-02,-1.184942e-02,1.184942e-02,1.184942e-02,1.485800e-01
1.400000e-05,1.000000e+00,8.735896e-01,9.205423e-02,-1.264104e-02,1.264104e-02,1.264104e-02,1.722590e-01
1.500000e-05,1.000000e+00,8.658779e-01,1.050808e-01,-1.341221e-02,1.341221e-02,1.341221e-02,1.975207e-01
1.600000e-05,1.000000e+00,8.583764e-01,1.188681e-01,-1.416236e-02,1.416236e-02,1.416236e-02,2.243241e-01
1.700000e-05,1.000000e+00,8.510904e-01,1.333948e-01,-1.489096e-02,1.489096e-02,1.489096e-02,2.526272e-01
1.800000e-05,1.000000e+00,8.440250e-01,1.486390e-01,-1.559750e-02,1.559750e-02,1.559750e-02,2.823871e-01
1.900000e-05,1.000000e+00,8.371850e-01,1.645785e-01,-1.628150e-02,1.628150e-02,1.628150e-02,3.135595e-01
2.000000e-05,1.000000e+00,8.305751e-01,1.811905e-01,-1.694249e-02,1.694249e-02,1.694249e-02,3.460995e-01
