time,V(1),V(2),I(V1),I(R1),I(C1)
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e-05,6.279052e-02,3.123906e-04,-6.247813e-05,6.247813e-05,6.247813e-05
2.000000e-05,1.253332e-01,1.245221e-03,-1.240880e-04,1.240880e-04,1.865661e-04
3.000000e-05,1.873813e-01,2.788625e-03,-1.845927e-04,1.845927e-04,4.336370e-04
4.000000e-05,2.486899e-01,4.930386e-03,-2.437595e-04,2.437595e-04,8.014845e-04
5.000000e-05,3.090170e-01,7.655988e-03,-3.013610e-04,3.013610e-04,1.287438e-03
6.000000e-05,3.681246e-01,1.094867e-02,-3.571759e-04,3.571759e-04,1.888374e-03
7.000000e-05,4.257793e-01,1.478950e-02,-4.109898e-04,4.109898e-04,2.600724e-03
8.000000e-05,4.817537e-01,1.915743e-02,-4.625962e-04,4.625962e-04,3.420496e-03
9.000000e-05,5.358268e-01,2.402940e-02,-5.117974e-04,5.117974e-04,4.343284e-03
1.000000e-04,5.877853e-01,2.938041e-02,-5.584048e-04,5.584048e-04,5.364285e-03
1.100000e-04,6.374240e-01,3.518364e-02,-6.022404e-04,6.022404e-04,6.478322e-03
1.200000e-04,6.845471e-01,4.141052e-02,-6.431366e-04,6.431366e-04,7.679864e-03
1.300000e-04,7.289686e-01,4.803089e-02,-6.809377e-04,6.809377e-04,8.963042e-03
1.400000e-04,7.705132e-01,5.501308e-02,-7.155002e-04,7.155002e-04,1.032168e-02
1.500000e-04,8.090170e-01,6.232405e-02,-7.466929e-04,7.466929e-04,1.174931e-02
1.600000e-04,8.443279e-01,6.992950e-02,-7.743984e-04,7.743984e-04,1.323921e-02
1.700000e-04,8.763067e-01,7.779406e-02,-7.985126e-04,7.985126e-04,1.478441e-02
1.800000e-04,9.048271e-01,8.588135e-02,-8.189457e-04,8.189457e-04,1.637776e-02
1.900000e-04,9.297765e-01,9.415419e-02,-8.356223e-04,8.356223e-04,1.801189e-02
2.000000e-04,9.510565e-01,1.025747e-01,-8.484818e-04,8.484818e-04,1.967932e-02
2.100000e-04,9.685832e-01,1.111045e-01,-8.574786e-04,8.574786e-04,2.137242e-02
2.200000e-04,9.822873e-01,1.197048e-01,-8.625824e-04,8.625824e-04,2.308349e-02
2.300000e-04,9.921147e-01,1.283366e-01,-8.637781e-04,8.637781e-04,2.480474e-02
2.400000e-04,9.980267e-01,1.369608e-01,-8.610659e-04,8.610659e-04,2.652839e-02
2.500000e-04,1.000000e+00,1.455385e-01,-8.544615e-04,8.544615e-04,2.824663e-02
2.600000e-04,9.980267e-01,1.540308e-01,-8.439960e-04,8.439960e-04,2.995169e-02
2.700000e-04,9.921147e-01,1.623993e-01,-8.297154e-04,8.297154e-04,3.163587e-02
2.800000e-04,9.822873e-01,1.706063e-01,-8.116809e-04,8.116809e-04,3.329155e-02
2.900000e-04,9.685832e-01,1.786146e-01,-7.899686e-04,7.899686e-04,3.491123e-02
3.000000e-04,9.510565e-01,1.863877e-01,-7.646688e-04,7.646688e-04,3.648758e-02
3.100000e-04,9.297765e-01,1.938905e-01,-7.358860e-04,7.358860e-04,3.801343e-02
3.200000e-04,9.048271e-01,2.010886e-01,-7.037384e-04,7.037384e-04,3.948184e-02
3.300000e-04,8.763067e-01,2.079491e-01,-6.683576e-04,6.683576e-04,4.088608e-02
3.400000e-04,8.443279e-01,2.144403e-01,-6.298876e-04,6.298876e-04,4.221971e-02
3.500000e-04,8.090170e-01,2.205322e-01,-5.884848e-04,5.884848e-04,4.347655e-02
3.600000e-04,7.705132e-01,2.261962e-01,-5.443170e-04,5.443170e-04,4.465076e-02
3.700000e-04,7.289686e-01,2.314056e-01,-4.975630e-04,4.975630e-04,4.573681e-02
3.800000e-04,6.845471e-01,2.361355e-01,-4.484116e-04,4.484116e-04,4.672953e-02
3.900000e-04,6.374240e-01,2.403628e-01,-3.970611e-04,3.970611e-04,4.762416e-02
4.000000e-04,5.877853e-01,2.440667e-01,-3.437185e-04,3.437185e-04,4.841629e-02
4.100000e-04,5.358268e-01,2.472283e-01,-2.885985e-04,2.885985e-04,4.910195e-02
4.200000e-04,4.817537e-01,2.498309e-01,-2.319227e-04,2.319227e-04,4.967759e-02
4.300000e-04,4.257793e-01,2.518601e-01,-1.739191e-04,1.739191e-04,5.014011e-02
4.400000e-04,3.681246e-01,2.533038e-01,-1.148207e-04,1.148207e-04,5.048685e-02
4.500000e-04,3.090170e-01,2.541523e-01,-5.486472e-05,5.486472e-05,5.071563e-02
4.600000e-04,2.486899e-01,2.543981e-01,5.708170e-06,-5.708170e-06,5.082475e-02
4.700000e-04,1.873813e-01,2.540362e-01,6.665493e-05,-6.665493e-05,5.081296e-02
4.800000e-04,1.253332e-01,2.530643e-01,1.277311e-04,-1.277311e-04,5.067952e-02
4.900000e-04,6.279052e-02,2.514822e-01,1.886917e-04,-1.886917e-04,5.042417e-02
5.000000e-04,1.249001e-16,2.492923e-01,2.492923e-04,-2.492923e-04,5.004715e-02
5.100000e-04,-6.279052e-02,2.464994e-01,3.092899e-04,-3.092899e-04,4.954917e-02
5.200000e-04,-1.253332e-01,2.431107e-01,3.684439e-04,-3.684439e-04,4.893143e-02
5.300000e-04,-1.873813e-01,2.391359e-01,4.265172e-04,-4.265172e-04,4.819562e-02
5.400000e-04,-2.486899e-01,2.345869e-01,4.832768e-04,-4.832768e-04,4.734390e-02
5.500000e-04,-3.090170e-01,2.294781e-01,5.384951e-04,-5.384951e-04,4.637889e-02
5.600000e-04,-3.681246e-01,2.238258e-01,5.919504e-04,-5.919504e-04,4.530366e-02
5.700000e-04,-4.257793e-01,2.176489e-01,6.434282e-04,-6.434282e-04,4.412174e-02
5.800000e-04,-4.817537e-01,2.109682e-01,6.927219e-04,-6.927219e-04,4.283707e-02
5.900000e-04,-5.358268e-01,2.038064e-01,7.396332e-04,-7.396332e-04,4.145401e-02
6.000000e-04,-5.877853e-01,1.961884e-01,7.839736e-04,-7.839736e-04,3.997731e-02
6.100000e-04,-6.374240e-01,1.881407e-01,8.255647e-04,-8.255647e-04,3.841211e-02
6.200000e-04,-6.845471e-01,1.796917e-01,8.642388e-04,-8.642388e-04,3.676390e-02
6.300000e-04,-7.289686e-01,1.708713e-01,8.998399e-04,-8.998399e-04,3.503849e-02
6.400000e-04,-7.705132e-01,1.617110e-01,9.322242e-04,-9.322242e-04,3.324203e-02
6.500000e-04,-8.090170e-01,1.522435e-01,9.612605e-04,-9.612605e-04,3.138093e-02
6.600000e-04,-8.443279e-01,1.425031e-01,9.868310e-04,-9.868310e-04,2.946188e-02
6.700000e-04,-8.763067e-01,1.325248e-01,1.008831e-03,-1.008831e-03,2.749178e-02
6.800000e-04,-9.048271e-01,1.223447e-01,1.027172e-03,-1.027172e-03,2.547778e-02
6.900000e-04,-9.297765e-01,1.120000e-01,1.041776e-03,-1.041776e-03,2.342717e-02
7.000000e-04,-9.510565e-01,1.015282e-01,1.052585e-03,-1.052585e-03,2.134742e-02
7.100000e-04,-9.685832e-01,9.096752e-02,1.059551e-03,-1.059551e-03,1.924609e-02
7.200000e-04,-9.822873e-01,8.035655e-02,1.062644e-03,-1.062644e-03,1.713086e-02
7.300000e-04,-9.921147e-01,6.973409e-02,1.061849e-03,-1.061849e-03,1.500946e-02
7.400000e-04,-9.980267e-01,5.913902e-02,1.057166e-03,-1.057166e-03,1.288965e-02
7.500000e-04,-1.000000e+00,4.861014e-02,1.048610e-03,-1.048610e-03,1.077919e-02
7.600000e-04,-9.980267e-01,3.818602e-02,1.036213e-03,-1.036213e-03,8.685815e-03
7.700000e-04,-9.921147e-01,2.790486e-02,1.020020e-03,-1.020020e-03,6.617185e-03
7.800000e-04,-9.822873e-01,1.780431e-02,1.000092e-03,-1.000092e-03,4.580881e-03
7.900000e-04,-9.685832e-01,7.921326e-03,9.765045e-04,-9.765045e-04,2.584357e-03
8.000000e-04,-9.510565e-01,-1.707940e-03,9.493486e-04,-9.493486e-04,6.349165e-04
8.100000e-04,-9.297765e-01,-1.104832e-02,9.187282e-04,-9.187282e-04,-1.260316e-03
8.200000e-04,-9.048271e-01,-2.006577e-02,8.847613e-04,-8.847613e-04,-3.094426e-03
8.300000e-04,-8.763067e-01,-2.872747e-02,8.475792e-04,-8.475792e-04,-4.860733e-03
8.400000e-04,-8.443279e-01,-3.700200e-02,8.073259e-04,-8.073259e-04,-6.552821e-03
8.500000e-04,-8.090170e-01,-4.485942e-02,7.641576e-04,-7.641576e-04,-8.164557e-03
8.600000e-04,-7.705132e-01,-5.227141e-02,7.182418e-04,-7.182418e-04,-9.690125e-03
8.700000e-04,-7.289686e-01,-5.921141e-02,6.697572e-04,-6.697572e-04,-1.112404e-02
8.800000e-04,-6.845471e-01,-6.565466e-02,6.188924e-04,-6.188924e-04,-1.246117e-02
8.900000e-04,-6.374240e-01,-7.157835e-02,5.658456e-04,-5.658456e-04,-1.369678e-02
9.000000e-04,-5.877853e-01,-7.696169e-02,5.108236e-04,-5.108236e-04,-1.482649e-02
9.100000e-04,-5.358268e-01,-8.178602e-02,4.540408e-04,-4.540408e-04,-1.584638e-02
9.200000e-04,-4.817537e-01,-8.603481e-02,3.957189e-04,-3.957189e-04,-1.675292e-02
9.300000e-04,-4.257793e-01,-8.969383e-02,3.360855e-04,-3.360855e-04,-1.754305e-02
9.400000e-04,-3.681246e-01,-9.275113e-02,2.753734e-04,-2.753734e-04,-1.821414e-02
9.500000e-04,-3.090170e-01,-9.519710e-02,2.138199e-04,-2.138199e-04,-1.876405e-02
9.600000e-04,-2.486899e-01,-9.702452e-02,1.516654e-04,-1.516654e-04,-1.919108e-02
9.700000e-04,-1.873813e-01,-9.822861e-02,8.915270e-05,-8.915270e-05,-1.949406e-02
9.800000e-04,-1.253332e-01,-9.880701e-02,2.652623e-05,-2.652623e-05,-1.967225e-02
9.900000e-04,-6.279052e-02,-9.875979e-02,-3.596927e-05,3.596927e-05,-1.972543e-02
1.000000e-03,-2.498002e-16,-9.808950e-02,-9.808950e-05,9.808950e-05,-1.965387e-02
1.010000e-03,6.279052e-02,-9.680109e-02,-1.595916e-04,1.595916e-04,-1.945831e-02
1.020000e-03,1.253332e-01,-9.490196e-02,-2.202352e-04,2.202352e-04,-1.913998e-02
1.030000e-03,1.873813e-01,-9.240187e-02,-2.797832e-04,2.797832e-04,-1.870061e-02
1.040000e-03,2.486899e-01,-8.931294e-02,-3.380028e-04,3.380028e-04,-1.814237e-02
1.050000e-03,3.090170e-01,-8.564959e-02,-3.946666e-04,3.946666e-04,-1.746792e-02
1.060000e-03,3.681246e-01,-8.142849e-02,-4.495530e-04,4.495530e-04,-1.668036e-02
1.070000e-03,4.257793e-01,-7.666849e-02,-5.024478e-04,5.024478e-04,-1.578325e-02
1.080000e-03,4.817537e-01,-7.139053e-02,-5.531442e-04,5.531442e-04,-1.478055e-02
1.090000e-03,5.358268e-01,-6.561758e-02,-6.014444e-04,6.014444e-04,-1.367666e-02
1.100000e-03,5.877853e-01,-5.937456e-02,-6.471598e-04,6.471598e-04,-1.247636e-02
